target	protocol	seed	depth	trials	?	!	?+!	complete	merged	incomplete	generated	completed	equivalent	time_ms
D1_640	BACK	46	4	241143	16831	27220	44051	525	526	0	1051	true	true	1446.962
D1_640	BACK	47	4	143415	16831	27477	44308	525	526	0	1051	true	true	899.768
D1_640	BACK	48	4	190394	16831	27440	44271	525	526	0	1051	true	true	1152.906
D1_640	BACK	49	4	279092	16831	27292	44123	525	526	0	1051	true	true	1628.687
D1_640	BACK	50	4	212921	16831	27392	44223	525	526	0	1051	true	true	1285.023
D1_640	BACK	51	4	298946	16831	27197	44028	525	526	0	1051	true	true	1760.510
G1_176	RESET	42	1	2404224	5371	0	5371	154	463	0	617	true	true	9384.072
G1_176	RESET	43	1	2571279	5287	0	5287	154	463	0	617	true	true	9823.056
G1_176	RESET	44	1	2389801	5322	0	5322	154	463	0	617	true	true	9153.320
G1_176	RESET	45	1	2231824	5083	0	5083	154	463	0	617	true	true	8461.178
G1_176	RESET	46	1	2292361	5111	0	5111	154	463	0	617	true	true	8830.160
G1_176	RESET	47	1	2201737	5143	0	5143	154	463	0	617	true	true	8368.227
G1_176	RESET	48	1	2272662	5072	0	5072	154	463	0	617	true	true	8647.023
G1_176	RESET	49	1	2176551	5012	0	5012	154	463	0	617	true	true	8310.726
G1_176	RESET	50	1	2292610	5228	0	5228	154	463	0	617	true	true	8830.576
G1_176	RESET	51	1	2319628	5137	0	5137	154	463	0	617	true	true	8837.899
G1_176	BACK	42	1	18349	2469	2699	5168	154	463	0	617	true	true	126.468
G1_176	BACK	43	1	17236	2469	2643	5112	154	463	0	617	true	true	137.224
G1_176	BACK	44	1	20953	2469	2562	5031	154	463	0	617	true	true	138.322
G1_176	BACK	45	1	34003	2469	2951	5420	154	463	0	617	true	true	182.678
G1_176	BACK	46	1	20260	2469	2599	5068	154	463	0	617	true	true	133.726
G1_176	BACK	47	1	24502	2469	2825	5294	154	463	0	617	true	true	155.532
G1_176	BACK	48	1	16878	2469	2529	4998	154	463	0	617	true	true	127.917
G1_176	BACK	49	1	20249	2469	2688	5157	154	463	0	617	true	true	140.259
G1_176	BACK	50	1	25839	2469	2710	5179	154	463	0	617	true	true	153.402
G1_176	BACK	51	1	19198	2469	2714	5183	154	463	0	617	true	true	134.071
G2_297	RESET	42	2	40060515	61807	0	61807	289	868	0	1157	true	true	249146.400
G2_297	RESET	43	2	40819512	63439	0	63439	289	868	0	1157	true	true	252997.126
G2_297	RESET	44	2	40417292	63086	0	63086	289	868	0	1157	true	true	253631.350
G2_297	RESET	45	2	39724486	62279	0	62279	289	868	0	1157	true	true	251926.088
G2_297	RESET	46	2	40255845	62422	0	62422	289	868	0	1157	true	true	293804.404
G2_297	RESET	47	2	39023251	60823	0	60823	289	868	0	1157	true	true	278724.337
G2_297	RESET	48	2	40943160	63718	0	63718	289	868	0	1157	true	true	311648.281
G2_297	RESET	49	2	39652291	61930	0	61930	289	868	0	1157	true	true	372326.197
G2_297	RESET	50	2	40484343	63356	0	63356	289	868	0	1157	true	true	301509.242
G2_297	RESET	51	2	41943740	63746	0	63746	289	868	0	1157	true	true	331407.969
G2_297	BACK	42	2	106027	18517	27954	46471	289	868	0	1157	true	true	920.928
G2_297	BACK	43	2	113323	18517	28447	46964	289	868	0	1157	true	true	1147.146
G2_297	BACK	44	2	112357	18517	28268	46785	289	868	0	1157	true	true	933.180
G2_297	BACK	45	2	119838	18517	28549	47066	289	868	0	1157	true	true	1028.586
G2_297	BACK	46	2	115768	18517	28292	46809	289	868	0	1157	true	true	1068.096
G2_297	BACK	47	2	112936	18517	29029	47546	289	868	0	1157	true	true	969.524
G2_297	BACK	48	2	132849	18517	28346	46863	289	868	0	1157	true	true	1169.241
G2_297	BACK	49	2	109958	18517	28747	47264	289	868	0	1157	true	true	951.298
G2_297	BACK	50	2	114756	18517	28475	46992	289	868	0	1157	true	true	998.348
G2_297	BACK	51	2	127399	18517	28663	47180	289	868	0	1157	true	true	1064.528
G3_176	RESET	42	1	2453989	5589	0	5589	164	493	0	657	true	true	14248.089
G3_176	RESET	43	1	2675657	5574	0	5574	164	493	0	657	true	true	15361.608
G3_176	RESET	44	1	2451513	5621	0	5621	164	493	0	657	true	true	15415.762
G3_176	RESET	45	1	2386010	5310	0	5310	164	493	0	657	true	true	13107.039
